"","pays1","pays2","dist"
"1","Canada","South Africa",11225.3501571242
"2","Canada","Denmark",3963.90872548016
"3","Canada","USSR",1254.42092140937
"4","Canada","Pakistan",7831.51516835483
"5","Canada","Aral Sea",6706.60666384302
"6","Canada","Italy",4466.91599537117
"7","Canada","Nicaragua",3012.07159792062
"8","Canada","Netherlands",3936.76033397779
"9","Canada","Caspian Sea",6544.75016009072
"10","Canada","Mexico",1927.12043507273
"11","Canada","Iraq",7291.9364177956
"12","Canada","Lake Malawi",10820.0579640914
"13","Canada","Ethiopia",8703.7961380913
"14","Canada","USA",0
"15","Canada","Mongolia",5358.07705662771
"16","Canada","Switzerland",4393.20757790836
"17","Canada","Cambodia",9277.30808817156
"18","Canada","France",3582.27792481252
"19","Canada","Guatemala",2740.46563042419
"20","Canada","Belize",2676.21325301979
"21","Canada","Honduras",2901.37539570292
"22","Canada","El Salvador",3112.86278024249
"23","Canada","Costa Rica",3431.58032990153
"24","Canada","Panama",3587.91828816627
"25","Canada","Colombia",3458.48708535021
"26","Canada","Ecuador",4524.653389213
"27","Canada","Peru",4713.16895145347
"28","Canada","Brazil",4273.5805216784
"29","Canada","Bolivia",5886.17349260836
"30","Canada","Chile",6719.81914878405
"31","Canada","Argentina",7223.33448573678
"32","Canada","Paraguay",6997.09066021121
"33","Canada","Uruguay",8191.68171042943
"34","Canada","Guyana",3931.25038243218
"35","Canada","Suriname",4248.37328800289
"36","Canada","French Guiana",4339.69622405395
"37","Canada","Venezuela",3509.9565817552
"38","Canada","Lake Titicaca",6479.97193607948
"39","Canada","Romania",5300.985523212
"40","Canada","Iran",7169.2042293473
"41","Canada","Turkey",6102.07729981126
"42","Canada","Afghanistan",7718.93521691562
"43","Canada","China",4765.03521131661
"44","Canada","India",7924.01155547846
"45","Canada","Myanmar",8153.94729466341
"46","Canada","Nepal",8398.63454423401
"47","Canada","Bhutan",8410.86665922607
"48","Canada","Bangladesh",8628.96307806076
"49","Canada","Thailand",8933.92989189252
"50","Canada","Laos",8658.75353045528
"51","Canada","Vietnam",8464.58205712959
"52","Canada","North Korea",5573.82336370859
"53","Canada","Hungary",4978.34731226591
"54","Canada","Czechoslovakia",4542.32522249877
"55","Canada","Poland",4459.93371160844
"56","Canada","South Korea",6061.92022217722
"57","Canada","Lake Pasvikelv",3791.37336908557
"58","Canada","Bulgaria",5575.87196697483
"59","Canada","Yugoslavia",4856.3800409801
"60","Canada","Greece",5718.5300442713
"61","Canada","Albania",5495.00789917625
"62","Canada","Austria",4547.16475140775
"63","Canada","Lacul Greaca",5793.39154881034
"64","Canada","Germany",4049.74175021484
"65","Canada","Luxembourg",4155.84217716528
"66","Canada","Belgium",3892.76577437383
"67","Canada","Liechtenstein",4547.16475140775
"68","Canada","Portugal",3685.87534416747
"69","Canada","Spain",3563.52168971235
"70","Canada","Andorra",4321.20196191706
"71","Canada","Monaco",4637.85531477958
"72","Canada","Norway",3503.75875119759
"73","Canada","Finland",3597.06551810872
"74","Canada","Sweden",3581.77146863168
"75","Canada","Egypt",6690.69126552808
"76","Canada","Libya",5665.42299327947
"77","Canada","Sudan",7475.21032174579
"78","Canada","Chad",6711.99750795873
"79","Canada","Tunisia",5188.72639555763
"80","Canada","Algeria",4587.28147154143
"81","Canada","Mali",5096.11020717382
"82","Canada","Mauritania",4662.22222666046
"83","Canada","Morocco",4309.8440410486
"84","Canada","Western Sahara",4445.88371677695
"85","Canada","Senegal",5264.53225203233
"86","Canada","Gambia",5476.60803120895
"87","Canada","Guinea-Bissau",5613.98111346576
"88","Canada","Guinea",5780.90272309585
"89","Canada","Ivory Coast",6336.92452619154
"90","Canada","Liberia",6360.49591762384
"91","Canada","Sierra Leone",6090.63019252152
"92","Canada","Ghana",6567.49464129101
"93","Canada","Burkina Faso",6305.4082195545
"94","Canada","Niger",6307.54336732132
"95","Canada","Benin",6803.74148912121
"96","Canada","Togo",6724.36232277214
"97","Canada","Nigeria",6806.89099799772
"98","Canada","Cameroon",7503.06817985754
"99","Canada","Central African Republic",8068.5195618043
"100","Canada","Zaire",8541.99403847205
"101","Canada","Congo",8396.00153022039
"102","Canada","Gabon",8267.83307561475
"103","Canada","Uganda",9462.45613237459
"104","Canada","Rwanda",9801.58594841352
"105","Canada","Zambia",10256.0456647155
"106","Canada","Angola",9079.3938656124
"107","Canada","Burundi",9881.48355204903
"108","Canada","Namibia",10052.2189750575
"109","Canada","Botswana",10718.9558888627
"110","Canada","Mozambique",11028.1908042089
"111","Canada","Swaziland",12024.9876858321
"112","Canada","Zimbabwe",10947.6125190213
"113","Canada","Malawi",10761.1837733767
"114","Canada","Tanzania",9846.24935808219
"115","Canada","Kenya",9611.93126854516
"116","Canada","Somalia",9616.25971461118
"117","Canada","Djibouti",9477.97408354571
"118","Canada","Syria",6984.51435318426
"119","Canada","Lebanon",7141.23717105833
"120","Canada","Jordan",7284.16553474072
"121","Canada","Israel",7218.5321705418
"122","Canada","Gaza Strip",7286.84081212457
"123","Canada","Saudi Arabia",7454.81834018657
"124","Canada","Yemen",9065.63780489607
"125","Canada","Qatar",8770.40476784566
"126","Canada","Kuwait",8188.53490258041
"127","Canada","Neutral Zone",8114.71987907085
"128","Canada","Vislinskiy Zaliv",4709.27354149234
"129","Canada","Lake Albert",9606.73174158348
"130","Canada","Lake Tanganyika",9946.36882139135
"131","Canada","Lake Kariba",11066.6749149164
"132","Canada","Lake Victoria",9873.04478055958
"133","Canada","Oman",9029.38992392158
"134","Canada","United Arab Emirates",8905.85135651
"135","Canada","Great Bitter Lake",7251.34968641577
"136","Canada","West Bank",7250.81524423472
"137","Canada","Australia",10290.2845903372
"138","Canada","Papua New Guinea",9552.54220255171
"139","Canada","Saint-Barthelemy",2848.94823627694
"140","Canada","Cuba",2089.43288398422
"141","Canada","Antarctica",11861.398495653
"142","Canada","Lesotho",12079.3839378972
"143","Canada","Lake Fjerritslev",3998.63469320906
"144","Canada","Anguilla",2820.7307466623
"145","Canada","Nauru",8068.74057907568
"146","Canada","Saint Kitts",2907.34636335117
"147","Canada","Montserrat",2977.94331715134
"148","Canada","Greenland",786.501237870188
"149","Canada","Sardinia",4918.99504772878
"150","Canada","Iceland",2080.80772361667
"151","Canada","Sicily",5386.17661368315
"152","Canada","Sonsorol Island",9313.25608782448
"153","Canada","Maug Island",7194.88176851308
"154","Canada","Isle of Man",3305.12343679007
"155","Canada","Saint Eustatius",2895.62041431507
"156","Canada","Brunei",10026.7546875033
"157","Canada","Dominican Republic",2683.6596066345
"158","Canada","Haiti",2618.31454394225
"159","Canada","Ireland",3002.18977556208
"160","Canada","Nevis",2931.95144983139
"161","Canada","Madagascar",12058.624973188
"162","Canada","San Marino",4947.31986556439
"163","Canada","Sin Cowe Island",9550.43810644765
"164","Canada","Tobago",3598.13962362178
