country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)",Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI),Income Group
Afghanistan,0.037847257339211696,0.020853712326343376,-0.17754939506021566,0.21573035548385042,-0.20411556092340916,0.14904511062010847,-0.583915891345134,0.6523454712651497,0.19018222533180162,0.1420953142742493,1.212921775325521,0.051148632070943986,-0.24973647277008293,0.2350306215385164,0.410683155627781,0.3957500187479703,-0.30940253322902767,-0.2982649091528654,-0.021097102904080376,-0.12973330996459856,1.3819885364022146,-1.3044543553835892,1.3021948730136617,0.34154368520263295,1.418225000144781,1.299852796963142,0.48820397227058626,0.4230165855063686,0.48462347420958324,0.5669455077736066,-0.47304609914750007,-0.6393077682534982,-0.5297805497807737,-0.7472318081656075,-0.24276691752432264,-0.6240406801703872,1.0836565006961005,0.0,1
Albania,-0.3124757859670952,-0.22428898825357266,-0.15472673304829593,0.06006585664001789,-0.21003169101532188,0.31779488977567477,-0.43991503155534895,0.626724051231277,0.26013027715659065,0.10910391756296052,0.7123165282854157,0.3053138738415146,0.0039047723322690533,0.5375667202134371,0.5543386179069488,0.538469316847632,-0.3070552570075412,-0.29320895958245924,-0.029635509785507802,-0.04547090252047381,-1.0271665661563867,-0.08384190600739187,0.2116529659510219,0.17642017237067742,-0.2804667028498705,0.049329240719368665,0.4304696707314697,0.44948690960762516,0.48951866081776085,0.46162414523435563,0.21583160534426463,0.5331489990998822,-0.2322873728871311,0.021240376259779314,-0.24064382339737253,-0.3689848457222567,0.723607290984696,0.0,3
Algeria,1.0082845672980623,0.06437782125139105,-0.1936774095486389,0.0636036861591957,-0.10617375276070859,0.35829483677301066,-0.43263572596823663,0.3363479575140522,0.5528758273862633,0.08436037002949381,-0.0460260736664267,0.8013954300684115,0.3134330714402242,0.3526835488009855,0.9693432867134336,0.9666272111466172,-0.17651130365780812,-0.09840106432744565,-0.23547261504095762,-0.6075156397349781,0.5059321354718141,0.4449576241783877,0.5751669349719016,0.23604810755999467,-0.1777073164425626,0.35269699232665447,0.46310210203618773,0.41507548827599167,0.40385289517465267,0.6525191148367482,0.31731805288099774,-0.0019176347286604084,-0.21538435147271962,-0.7855082004933087,0.3473521500474762,-0.2126603020282412,0.6668805340675228,0.0,3
Angola,0.3711738100070556,-0.022354568579552255,-0.1908082748957119,-0.1415904259531293,-0.13790898880420963,0.33129487210812003,-0.40864272344449976,0.18261943731081562,0.9129787608546219,-0.09090642499922834,-0.20959016428349078,0.8963246167538054,0.3886656441400744,0.15099281635103845,1.2087690571787133,1.2044927079793868,-0.21833846188235156,-0.274284737802583,0.18386756881742122,-0.24107465983690704,1.6010026366348145,-0.6126414361931711,1.9080514880484616,0.3736510349199576,-0.23879833627372038,1.2257476973338817,0.36520480812203343,0.41507548827599167,0.40385289517465267,0.7973359883282184,-0.4853474867277102,-0.5519064455962464,-0.1781977043610143,0.5600542067189587,0.14535490882622318,-0.4594885289135288,0.6740932145002906,0.0,2
Argentina,1.2320561644393775,0.08658353888367608,-0.1941555986574601,-0.15220391451066323,0.21072044477567276,0.3110448986094521,0.01339419094803171,0.15984484172515093,0.3067623117064501,0.40808845025901597,-0.2641115278225121,0.5043589426979855,0.7089414536337221,0.14679092609166455,0.31491284744166914,0.30060382001486247,-0.04731330830015756,-0.05928059712463906,0.039458365665373106,-0.3636322675864919,-0.22411486530351957,1.2838801871046992,-0.5153749720907381,0.20394075784267,-0.28475775415039545,0.028487181448639102,0.40285761347363125,0.5156627198607665,0.5335753402913593,0.8126953536985257,0.7924591481666122,0.6631851132972574,0.19366876675603895,-0.5146291163280383,0.07104661438296941,0.034167924857046374,0.666100784831548,0.0,0
Australia,3.989023905830169,-0.0624572072971195,-0.19980692448898307,-0.031917710858610907,0.6163681155387871,0.3110448986094521,1.5895502247738793,0.06020598603786795,0.2730836200871071,0.509124602687338,-0.24676382124191443,0.39411859686978623,0.7734265159478794,0.10477202349792558,0.18721910319351995,0.173742221704052,0.566969810321667,0.5551297831860441,0.012284206411248961,-1.2670272806614606,0.14090863508414728,1.188457715492228,-0.21244666457333816,0.18559370086134158,-0.22468303594304623,-0.19845968616597162,0.5183262165518646,0.5050745902202638,0.5311277469872705,0.5888874583026174,0.6217773954911975,0.9872095290021914,2.533046930510592,-0.332080168303617,1.2958697261925194,1.1613501609665262,-1.2639735115152932,0.0,0
Austria,-0.2815346514405432,-0.18062952446317412,-0.15511797868278598,-0.1415904259531293,0.037637887970506136,0.26379496044589357,1.2795906234203538,0.02604409265937093,0.31971565463696655,0.4946908666261493,-0.19719894529734955,0.5288567973264744,0.6358583830110107,0.13418525531354286,0.139333949100464,0.1261691223374981,0.36145739400116506,0.370952699243919,-0.04519629150576415,0.13264932373099483,-0.516133665613653,0.2580886172706309,-0.878888941111618,0.1626598796346811,-0.10250099628073066,-0.212354392346458,0.563509582973782,0.5527211736025256,0.5384705268995369,0.6305771643077376,1.0000450635826574,0.9722873519631486,-0.27285462428171875,0.5718315582044051,-0.19808084113803942,0.6347832769445795,-1.2639735115152932,0.0,0
Bahrain,-0.3281795778624809,-0.23509481833741744,0.6525434261161787,2.4091846573742224,-0.19675784431465623,0.3279198765250087,0.35768092376944666,-0.002424151822709927,0.6409585593137755,0.2596271650582159,-0.28889396579479454,0.7677108799542394,0.5477287978483288,-0.07170736739577813,1.0810753129305641,1.061773409879725,-0.2561510326010987,-0.24692015697601596,-0.017464346877476413,0.00522917643923809,0.5059321354718141,1.1646020975891098,-0.0912753415663782,0.19476722935200583,-0.28995218467208356,-0.12898615526353976,0.40787798752051097,0.43889877996712245,0.4699379143850504,0.12371810708759186,1.4290559554424842,1.1769343513557387,-0.5500641754780675,-0.7855082004933087,-0.1519793686671228,2.732823205469524,-1.2639735115152932,0.0,0
Bangladesh,-0.24577971560238418,0.9919496740714463,0.3487194550660702,0.052990197601661744,-0.08605321729976088,0.4527947131001278,-0.5588646260315109,0.43029316430491904,0.31453431746475996,0.2039541831079159,0.6924905779075898,0.32981172847000334,0.0039047723322690533,0.04174366960731712,0.6660706441240793,0.6336155155807398,-0.14838590464678286,-0.07299273646817474,-0.22823570736591192,0.03900761779219192,-0.07810546514845287,-1.0022831952774298,1.0598522269997417,0.1993539935973379,-0.02729467611889873,0.4823809166778606,0.35265387300483414,0.4256636179164942,0.45035716795233993,0.404575073858928,-0.13783328758677527,-0.5092716540561234,-0.16129468294660276,-0.48518573761442196,-0.1037548020692561,-0.5746750347933297,0.6900780738377759,0.0,2
Belgium,-0.31147665276575887,-0.16037893266373504,-0.037092212278286886,-0.10267430124217128,0.09059772361972815,0.28066993836145016,1.1150714620080375,0.008963145970122413,0.1616848708846653,0.6328423403546712,-0.2839374782003381,0.39411859686978623,0.8056690471049581,0.22242495076039476,0.139333949100464,0.1103114225486468,1.537563870612228,1.39690176129907,0.37122624578006663,0.022777541364764967,-0.516133665613653,1.5264123024530645,-0.8183032796081381,0.1810069366160095,-0.21835938139490418,-0.2077228236196292,0.5484484608331428,0.49448646057976126,0.5653940532445138,0.7929475982224162,0.3588352359642068,0.9978682268872221,-0.5466835711951852,-0.1436425445364722,-0.19656434533307507,0.9474323643326105,-1.2639735115152932,0.0,0
